experiment,pioreactor_unit,timestamp,event_name,message,data,timestamp_localtime,hours_since_experiment_created
Pulse experiments,pioreactor01,2026-09-04T01:09:21.746Z,UpdatedHeaterDC,delta_dc=-3.146000000000002,"{""current_dc"": 0.0, ""delta_dc"": -3.146000000000002, ""target_temperature"": 28.0, ""latest_temperature"": 30.21}",2026-09-04 06:54:21.746,1598.795
Pulse experiments,pioreactor01,2026-09-04T01:12:44.722Z,UpdatedHeaterDC,delta_dc=-3.0020000000000056,"{""current_dc"": 0.0, ""delta_dc"": -3.0020000000000056, ""target_temperature"": 36.0, ""latest_temperature"": 30.19}",2026-09-04 06:57:44.722,1598.851388888889
Pulse experiments,pioreactor01,2026-09-04T01:16:05.620Z,UpdatedHeaterDC,delta_dc=-3.0940000000000034,"{""current_dc"": 0.0, ""delta_dc"": -3.0940000000000034, ""target_temperature"": 36.0, ""latest_temperature"": 30.19}",2026-09-04 07:01:05.620,1598.907222222222
Pulse experiments,pioreactor01,2026-09-04T01:19:29.198Z,UpdatedHeaterDC,delta_dc=-3.0940000000000034,"{""current_dc"": 0.0, ""delta_dc"": -3.0940000000000034, ""target_temperature"": 36.0, ""latest_temperature"": 30.19}",2026-09-04 07:04:29.198,1598.963888888889
Pulse experiments,pioreactor01,2026-09-04T01:22:49.479Z,UpdatedHeaterDC,delta_dc=-3.0940000000000034,"{""current_dc"": 0.0, ""delta_dc"": -3.0940000000000034, ""target_temperature"": 28.0, ""latest_temperature"": 30.19}",2026-09-04 07:07:49.479,1599.019444444444
Pulse experiments,pioreactor01,2026-09-04T01:26:06.804Z,UpdatedHeaterDC,delta_dc=-3.0940000000000034,"{""current_dc"": 0.0, ""delta_dc"": -3.0940000000000034, ""target_temperature"": 28.0, ""latest_temperature"": 30.19}",2026-09-04 07:11:06.804,1599.074166666667
Pulse experiments,pioreactor01,2026-09-04T01:29:22.096Z,UpdatedHeaterDC,delta_dc=-3.0940000000000034,"{""current_dc"": 0.0, ""delta_dc"": -3.0940000000000034, ""target_temperature"": 28.0, ""latest_temperature"": 30.19}",2026-09-04 07:14:22.096,1599.128611111111
Pulse experiments,pioreactor01,2026-09-04T01:32:53.796Z,UpdatedHeaterDC,delta_dc=-3.0940000000000034,"{""current_dc"": 0.0, ""delta_dc"": -3.0940000000000034, ""target_temperature"": 28.0, ""latest_temperature"": 30.19}",2026-09-04 07:17:53.796,1599.187222222222
Pulse experiments,pioreactor01,2026-09-04T01:36:06.062Z,UpdatedHeaterDC,delta_dc=-2.7339999999999987,"{""current_dc"": 0.0, ""delta_dc"": -2.7339999999999987, ""target_temperature"": 28.0, ""latest_temperature"": 30.14}",2026-09-04 07:21:06.062,1599.240833333333
Pulse experiments,pioreactor01,2026-09-04T01:39:24.984Z,UpdatedHeaterDC,delta_dc=-2.8200000000000047,"{""current_dc"": 0.0, ""delta_dc"": -2.8200000000000047, ""target_temperature"": 28.0, ""latest_temperature"": 30.12}",2026-09-04 07:24:24.984,1599.295833333333
Pulse experiments,pioreactor01,2026-09-04T01:42:52.841Z,UpdatedHeaterDC,delta_dc=-2.9120000000000026,"{""current_dc"": 0.0, ""delta_dc"": -2.9120000000000026, ""target_temperature"": 28.0, ""latest_temperature"": 30.12}",2026-09-04 07:27:52.841,1599.353611111111
Pulse experiments,pioreactor01,2026-09-04T01:46:09.852Z,UpdatedHeaterDC,delta_dc=-2.479999999999986,"{""current_dc"": 0.0, ""delta_dc"": -2.479999999999986, ""target_temperature"": 28.0, ""latest_temperature"": 30.06}",2026-09-04 07:31:09.852,1599.408333333333
Pulse experiments,pioreactor01,2026-09-04T01:49:26.745Z,UpdatedHeaterDC,delta_dc=-2.7559999999999967,"{""current_dc"": 0.0, ""delta_dc"": -2.7559999999999967, ""target_temperature"": 28.0, ""latest_temperature"": 30.06}",2026-09-04 07:34:26.745,1599.463055555555
Pulse experiments,pioreactor01,2026-09-04T01:52:56.548Z,UpdatedHeaterDC,delta_dc=-2.7559999999999967,"{""current_dc"": 0.0, ""delta_dc"": -2.7559999999999967, ""target_temperature"": 28.0, ""latest_temperature"": 30.06}",2026-09-04 07:37:56.548,1599.521388888889
Pulse experiments,pioreactor01,2026-09-04T01:56:07.382Z,UpdatedHeaterDC,delta_dc=-2.684000000000011,"{""current_dc"": 0.0, ""delta_dc"": -2.684000000000011, ""target_temperature"": 28.0, ""latest_temperature"": 30.05}",2026-09-04 07:41:07.382,1599.574444444444
Pulse experiments,pioreactor01,2026-09-04T01:59:26.074Z,UpdatedHeaterDC,delta_dc=-2.586000000000005,"{""current_dc"": 0.0, ""delta_dc"": -2.586000000000005, ""target_temperature"": 28.0, ""latest_temperature"": 30.03}",2026-09-04 07:44:26.074,1599.629722222222
Pulse experiments,pioreactor01,2026-09-04T02:02:42.980Z,UpdatedHeaterDC,delta_dc=-2.8939999999999855,"{""current_dc"": 0.0, ""delta_dc"": -2.8939999999999855, ""target_temperature"": 28.0, ""latest_temperature"": 30.06}",2026-09-04 07:47:42.980,1599.684166666667
Pulse experiments,pioreactor01,2026-09-04T02:06:06.896Z,UpdatedHeaterDC,delta_dc=-2.7559999999999967,"{""current_dc"": 0.0, ""delta_dc"": -2.7559999999999967, ""target_temperature"": 28.0, ""latest_temperature"": 30.06}",2026-09-04 07:51:06.896,1599.740833333333
Pulse experiments,pioreactor01,2026-09-04T02:09:25.347Z,UpdatedHeaterDC,delta_dc=-2.7559999999999967,"{""current_dc"": 0.0, ""delta_dc"": -2.7559999999999967, ""target_temperature"": 28.0, ""latest_temperature"": 30.06}",2026-09-04 07:54:25.347,1599.796111111111
