measured_temp_c,OD_45,OD_90,OD_135,nm_415,nm_445,nm_480,nm_515,nm_555,nm_590,nm_630,nm_680,growth_rate,norm_od,co2_ppm,co2_temp_c,humidity,u_uv_intensity_pct,u_target_temp_c,u_glucose_ml,u_salt_ml
29.13888888888889,0.09233420423263056,0.20503997112855557,0.31030122217175554,0.06079253472222223,0.51194091796875,0.5789881727430556,0.6558162434895833,0.7408669704861112,0.7337750108506944,0.7178080512152778,0.4280882703993055,0.007565596359596542,1.3379919459597898,734.3,27.293833333333332,75.62783333333333,0.9,25.6,0.17,0.06
29.103333333333335,0.09241711609395556,0.20522402883203056,0.3103672483526639,0.060629557291666664,0.5121957465277778,0.5790806749131944,0.6557105577256945,0.7407080078124999,0.7338442925347222,0.7178490668402778,0.428166015625,0.006785064571845481,1.3374710901763323,746.15,27.171666666666667,76.32233333333333,9.7,27.7,0.14,0.03
29.071111111111108,0.09285994728792778,0.20592077407456943,0.3099244808177361,0.060404459635416664,0.5103487955729167,0.5769704318576389,0.6528553059895833,0.7374969075520833,0.7306057400173611,0.7148070203993057,0.4262857530381945,0.00857424631013913,1.334545836765771,738.3,27.1925,76.541,3.4,27.8,0.18,0.07
29.075555555555557,0.09311294893263056,0.20626985921269167,0.3096668148431361,0.06033528645833333,0.5099588758680556,0.5764982638888889,0.6521603732638889,0.7365539822048611,0.7296937391493056,0.7140337456597223,0.42580045572916664,0.004648522818813753,1.3328694537880286,697.3166666666667,27.1535,76.82083333333334,6.3,26.1,0.14,0.03
29.034444444444446,0.09252137436715277,0.20564797008134164,0.31117234209690836,0.06060139973958333,0.5125099826388889,0.5796346028645833,0.6552981770833333,0.74056494140625,0.7337096896701388,0.7182538519965277,0.4283138563368055,0.024456210397705198,1.3387290861442274,674.9330196507614,27.345333333333333,76.88533333333334,9.5,28.8,0.16,0.05
29.043333333333333,0.09267407800630834,0.2060464607270861,0.3115921997612889,0.060599338107638887,0.5125842013888889,0.5797659505208334,0.6554536132812501,0.7406865234375,0.7336920030381944,0.7182290581597223,0.42828347439236114,0.011460813194780059,1.3400940226202405,661.4666666666667,27.342,77.23283333333333,0.5,24.9,0.16,0.05
29.07125,0.09307891074630278,0.20672807897422224,0.311237402998725,0.060474609375,0.5115372721354167,0.5785792100694445,0.6540765516493056,0.7391181098090278,0.7321665581597222,0.7168136935763889,0.42740250651041667,0.004669582556812139,1.336383878743922,642.0833333333334,27.236,76.61516666666667,11.7,28.4,0.14,0.03
29.04111111111111,0.09353942248024723,0.2072923070168278,0.3108601234821111,0.0602666015625,0.5098757595486111,0.5766609157986111,0.6516507161458333,0.7364102105034722,0.7295348307291666,0.7143129340277778,0.4259065755208334,0.004693883205725947,1.3338889752244811,616.3333333333334,27.259999999999998,76.08333333333333,0.0,26.9,0.19,0.08
29.127777777777776,0.09379934194479722,0.20770068611865,0.31050088995669445,0.06023328993055556,0.50943505859375,0.5761981879340278,0.6509024522569444,0.7356846245659723,0.7288018663194445,0.7135451931423611,0.4253925238715278,0.0032041366262303204,1.331615251186242,574.7241379310345,27.515172413793106,75.12021361714112,10.6,27.4,0.12,0.02
29.006666666666664,0.09229371088241946,0.20511751889236945,0.31124221512105554,0.06047417534722222,0.5105033094618056,0.5780067816840279,0.6526832139756945,0.7384344075520833,0.7318925238715277,0.7163850911458334,0.42722965494791665,0.035890927508745535,1.3388035780827128,595.9499096928698,27.529833333333332,75.471,6.5,29.2,0.18,0.07
