feature_set,task,delay_steps,memory_min,n,accuracy,balanced_accuracy,macro_f1,majority_accuracy
bio_optical_only,temp_high_low,2,60.0,30,0.5666666666666667,0.5814479638009049,0.5661846496106786,0.5666666666666667
bio_optical_only,temp_high_low,3,90.0,29,0.5517241379310345,0.5649038461538461,0.5495818399044206,0.5517241379310345
bio_optical_only,temp_high_low,4,120.0,28,0.5357142857142857,0.5625,0.5303225806451612,0.5714285714285714
bio_optical_only,temp_high_low,5,150.0,27,0.5555555555555556,0.575,0.55,0.5555555555555556
bio_optical_only,temp_high_low,6,180.0,26,0.5384615384615384,0.5535714285714286,0.5272727272727272,0.5384615384615384
bio_optical_only,glucose_high_low,0,0.0,32,0.03125,0.041666666666666664,0.030303030303030304,0.625
bio_optical_only,glucose_high_low,1,30.0,31,0.41935483870967744,0.34210526315789475,0.29545454545454547,0.6129032258064516
bio_optical_only,glucose_high_low,2,60.0,30,0.03333333333333333,0.045454545454545456,0.03225806451612903,0.6333333333333333
bio_optical_only,glucose_high_low,3,90.0,29,0.034482758620689655,0.027777777777777776,0.03333333333333333,0.6206896551724138
bio_optical_only,glucose_high_low,4,120.0,28,0.35714285714285715,0.31016042780748665,0.3,0.6071428571428571
bio_optical_only,glucose_high_low,5,150.0,27,0.0,0.0,0.0,0.6296296296296297
bio_optical_only,glucose_high_low,6,180.0,26,0.11538461538461539,0.09375,0.10344827586206896,0.6153846153846154
bio_optical_only,salt_high_low,0,0.0,32,0.03125,0.041666666666666664,0.030303030303030304,0.625
bio_optical_only,salt_high_low,1,30.0,31,0.41935483870967744,0.34210526315789475,0.29545454545454547,0.6129032258064516
bio_optical_only,salt_high_low,2,60.0,30,0.03333333333333333,0.045454545454545456,0.03225806451612903,0.6333333333333333
bio_optical_only,salt_high_low,3,90.0,29,0.034482758620689655,0.027777777777777776,0.03333333333333333,0.6206896551724138
bio_optical_only,salt_high_low,4,120.0,28,0.35714285714285715,0.31016042780748665,0.3,0.6071428571428571
